workerid,button_rt,group_size,thickness,round,correct,correct_tangram,gameId,selected,text,trial_index,rt_sec,condition,trial_order
914,7763,2_player,thin,round_1,0,K,53uTmg2fquiNWgaK9,L,"[{'role': 'speaker', 'text': 'kneeling to the right', 'playerId': '8TCXBa5TcMjPDEKv6'}, {'role': 'speaker', 'text': 'diamond head in center', 'playerId': '8TCXBa5TcMjPDEKv6'}]",109,7.763,2_thin,54
914,15249,2_player,thin,round_6,0,I,HQCyESfw7Bwg5LM3Q,A,"[{'role': 'speaker', 'text': 'standing one left, other leg stretched to the right, head facing left with arms out to the left', 'playerId': 'hqLm2SFGSXpKH7smw'}]",111,15.249,2_thin,55
914,17365,2_player,thick,round_1,1,H,ReHEztHvdLg42SEGu,H,"[{'role': 'speaker', 'text': ""this one looks like it's sitting with its legs crossed off to the side"", 'playerId': 'dRD2qauYBz3is79vB'}, {'role': 'listener', 'text': 'Legs facing left or right', 'playerId': 'Pguc8sNiz63gYASuy'}, {'role': 'speaker', 'text': 'could be facing us, or facing away from us', 'playerId': 'dRD2qauYBz3is79vB'}, {'role': 'speaker', 'text': 'right!', 'playerId': 'dRD2qauYBz3is79vB'}]",113,17.365,2_thick,56
914,3651,2_player,thin,round_1,1,I,HQCyESfw7Bwg5LM3Q,I,"[{'role': 'speaker', 'text': 'person on one leg facing the left', 'playerId': 'ijqA9EF3MtMyzT6Ts'}]",115,3.651,2_thin,57
914,5369,6_player,thin,round_1,1,E,xSm8KNffud9xrhzXt,E,"[{'role': 'speaker', 'text': 'mountain with 2 peaks at bottom', 'playerId': 'pBWF9Yg8Gkrzgz6ZZ'}, {'role': 'speaker', 'text': 'square on top and then 2 triangles on very top', 'playerId': 'pBWF9Yg8Gkrzgz6ZZ'}]",117,5.369,6_thin,58
914,5888,2_player,thin,round_1,1,C,tac8f7dPdRJLBrSMh,C,"[{'role': 'speaker', 'text': 'I am falling backwards and slightly sideways and have both my arms up', 'playerId': '6WniY398mGwu8Gq6w'}]",119,5.888,2_thin,59
914,5032,2_player,thin,round_6,1,D,22dyGMRgestp8u5Lc,D,"[{'role': 'speaker', 'text': 'priest standing up, facing left', 'playerId': 'zbNWfn7CxR9SSytWA'}]",121,5.032,2_thin,60
914,5218,2_player,thick,round_1,0,B,pdC8wpWApxQxy97ei,E,"[{'role': 'speaker', 'text': 'mess of shapes', 'playerId': 'epgkyGmaqtcw2wDNc'}, {'role': 'speaker', 'text': 'small triangle at bottom left', 'playerId': 'epgkyGmaqtcw2wDNc'}, {'role': 'speaker', 'text': 'two triangles on top of base', 'playerId': 'epgkyGmaqtcw2wDNc'}]",123,5.218,2_thick,61
914,5406,6_player,thin,round_6,0,L,AdiA5JEZBKJ4F5r4i,K,"[{'role': 'speaker', 'text': 'Kneeling down slightly, facing right Arms pointing right', 'playerId': 'DnsCNZv6g42s9Ruci'}, {'role': 'speaker', 'text': 'Arms pointing right, kneeling down', 'playerId': 'DnsCNZv6g42s9Ruci'}]",125,5.406,6_thin,62
914,2052,2_player,thick,round_1,1,I,39vsQAqXRy5pjDrHx,I,"[{'role': 'speaker', 'text': 'skiing', 'playerId': 'oeYEj7xymG4SwYdqb'}]",127,2.052,2_thick,63
914,6674,6_player,thick,round_1,0,G,BPDJ8DfY2oJw6jGZn,L,"[{'role': 'speaker', 'text': 'one that is prostrating', 'playerId': 'FtpmWjRBf7ifYWhyL'}]",129,6.674,6_thick,64
871,12597,2_player,thick,round_1,0,E,3LD6SkQZcPSYXHE9W,F,"[{'role': 'speaker', 'text': 'person looking down, sitting with knees bent upwards', 'playerId': 'LyQyeWbntRWk8ms69'}]",3,12.597,2_thick,1
871,23784,2_player,thick,round_1,1,A,XJWjbBteCLNDAtjaR,A,"[{'role': 'speaker', 'text': 'Bear with flag', 'playerId': 'REH8sf5fLW24xLJLe'}, {'role': 'speaker', 'text': 'Bear walking holding flag behind', 'playerId': 'REH8sf5fLW24xLJLe'}, {'role': 'listener', 'text': 'balancing on one leg', 'playerId': 'htbtimGcD7TSwfbR3'}]",5,23.784,2_thick,2
871,11250,6_player,thick,round_1,1,H,yuahmMCJwB5LLGYHB,H,"[{'role': 'speaker', 'text': 'it looks like a block for a body and tilted square for a head with no visible legs or arms', 'playerId': 'WLChjCXuws93NcRaQ'}]",7,11.25,6_thick,3
871,12497,6_player,thin,round_1,1,G,s3guGBwvgJRQvf9vF,G,"[{'role': 'speaker', 'text': 'a seal standing on its belly balancing two objects on its nose', 'playerId': 'xaG49m2wuoEz9eEcw'}]",9,12.497,6_thin,4
871,9485,6_player,thick,round_6,0,K,Cd78pF39goegJ3bsA,C,"[{'role': 'speaker', 'text': 'person kneeling, arms outstretched, facing the right', 'playerId': 'YA854Kq94JdiomiiP'}]",11,9.485,6_thick,5
871,10604,2_player,thick,round_6,1,A,cCSd3v7a6AH8fHsJE,A,"[{'role': 'speaker', 'text': 'monster', 'playerId': 'Dmv2wGZJEid5oXz3M'}]",13,10.604,2_thick,6
871,6185,2_player,thin,round_6,1,E,jogDrQkpEKFNKDtfk,E,"[{'role': 'speaker', 'text': 'two triangles on head', 'playerId': '5gj4Z6SqKe5ZjzcBf'}]",15,6.185,2_thin,7
871,5267,6_player,thin,round_6,1,C,78pdRXrYqcWKaNMsA,C,"[{'role': 'speaker', 'text': 'arms in air wide open', 'playerId': 'i7JHRaSobHRNAbiut'}]",17,5.267,6_thin,8
